Chacra;1.Sup;1.RegTen;1.porc_MA;1.porc_PE;1.porc_CA;1.porc_OTRO;1.porc_SC;1.EdadPEyMA;1.MOtot;2.EmpPr;2.Comerc;2.IndPr;3.MOfam;3.MH_PR;3.MH_FP;3.Act_PR;3.MO_nofam_PER;3.MO_nofam_TEM;3.MO.PER/TOT;4.Tract;4.EdTract;4.PotTract;4.Pulv;4.EdPulv;4.CapPulv;4.Elev;4.EdElev;5.Dens;5.porc_Libre;5.porc_Esp;5.porc_SinDEF;5.porc_ASP;5.porc_CAL;5.porc_OTRO;5.porc_JOVEN;5.porc_NUEVAS;6.RendRED;6.porc_BUE;6.porc_REG;6.porc_MAL
GFO17;22,33;P;44,08;21,3;0;0;34,62;12,72;7;No;No;No;pr+fl;6;6;M;0,04;0,18;0,2;1;73;45;1;75;1500;1;85;863,37;0;100;100;0;0;0;30,04;0;39,08;100;0;0
GFO18;15;P;60,72;39,28;0;0;0;24,39;16;No;No;No;nadie;0;0;N;0,27;0,8;0,25;1;92;58;1;80;2000;1;76;451,8;69,14;30,86;70,37;0;29,63;0;28,43;3,61;31,21;100;0;0
GFO20;7;D;21,2;10,87;0;0;67,93;20;2;Si;Ambos;No;nadie;0;0;N;0;0,29;0;;;;;;;;;395,48;66,1;33,9;66,1;0;33,9;0;0;0;28,64;100;0;0
GRO06;22;P;54,72;45,28;0;0;0;16,09;40;No;No;No;prod;0;36;O;0,05;1,64;0,03;1;70;40;1;70;1500;;;1571,86;0;100;100;0;0;0;6,55;6,38;45,44;100;0;0
GRO17;17,75;D;85,74;14,26;0;0;0;20,86;16;No;No;No;prod;0;12;O;0,06;0,79;0,07;2;78;45;1;78;2000;1;74;423,03;41,07;58,93;100;0;0;0;0;0;35,62;40,55;14,26;45,2
GRO19;31,25;P;100;0;0;0;0;34;44;Si;Ambos;Si;pr+fl;4;3;X;0,16;1,18;0,12;;;;;;;;;374,93;71,57;28,43;45,2;14,76;40,04;0;0;0;38,88;100;0;0
GRO21;65;P;60,16;27,43;0;6,21;6,21;19,63;85;Si;Ambos;No;pr+fl;6;6;C;0,11;1,17;0,08;;;;2;92;2000;;;539,99;15,54;84,46;15,21;0;84,79;0;14,5;14,5;43,01;100;0;0
GRO23;29,34;P;72,94;26,39;0,67;0;0;18,55;19;Si;Ambos;Si;nadie;0;0;N;0,24;0,41;0,37;2;80;49;1;72;1600;1;75;466,76;42,22;57,78;88,42;0;11,58;0;26,93;0;39,3;100;0;0
GRO24;30;P;46,73;32,66;3,04;0;17,58;18,18;47;No;No;No;prod;2;0;N;0,07;1,47;0,04;;;;;;;;;389,13;88,57;11,43;100;0;0;0;0;0;21,61;0;59,42;40,58
GRO25;9,1;P;44,98;19,78;0;7,05;28,19;13,03;6;No;No;No;pr+fl;12;0;N;0;0,44;0;1;70;42;1;78;1600;1;76;531,6;63,39;36,61;10,35;0;0;89,65;41,87;0;39,94;96,61;3,39;0
GRO26;8,65;P;70,79;27,5;0;1,71;0;33,73;6;No;No;No;pr+fl;2;10;X;0;0,35;0;;;;;;;;;367,27;75,47;24,53;100;0;0;0;4,43;1,84;32,04;87,32;12,68;0
IHU08;30;P;39,38;60,62;0;0;0;18,39;17;Si;Ambos;Si;nadie;0;0;N;0,3;0,27;0,53;2;90;60;1;93;2000;1;85;671,91;0;100;38,17;0;61,83;0;17,58;0;40,76;100;0;0
